Restaurant_ID,Name,City,Cuisine_Type,Price_Range,Latitude,Longitude,Description
RES_0001,Butt Karahi,Lahore,Pakistani,Mid,31.5825,74.3319,Iconic Old Lahore karahi restaurant known for its mutton and chicken karahi.
RES_0002,Phajja Siri Paye,Lahore,Pakistani,Budget,31.591,74.308,Famous late-night eatery in the Walled City known for siri paye (trotters).
RES_0003,Cuckoo's Den,Lahore,Pakistani,High,31.5885,74.3095,"Rooftop restaurant overlooking Badshahi Mosque, known for its ambience."
RES_0004,Andaaz Restaurant,Lahore,Pakistani,High,31.547,74.355,Traditional Punjabi restaurant popular for its BBQ and family halls.
RES_0005,Haveli Restaurant,Lahore,Pakistani,High,31.5885,74.31,Rooftop dining venue in a restored haveli facing the Badshahi Mosque.
RES_0006,"Bundu Khan, Gulberg",Lahore,Pakistani BBQ,Mid,31.509,74.345,Well-known chain famous for seekh kababs and dal gosht.
RES_0007,Salt'n Pepper Village,Lahore,Pakistani,Mid,31.5,74.335,Large traditional-themed restaurant popular for family dining.
RES_0008,Cafe Aylanto,Lahore,Continental,High,31.5075,74.343,Upscale continental and Italian restaurant in Gulberg.
RES_0009,Waris Nihari,Lahore,Pakistani,Budget,31.568,74.311,"Old-city institution famous for its nihari, running for decades."
RES_0010,Fujiya Restaurant,Lahore,Continental,Mid,31.559,74.329,Long-running Mall Road restaurant known for continental dishes and bakery.
RES_0011,Mocca Coffee,Lahore,Cafe,Mid,31.478,74.363,Popular cafe chain known for coffee and casual all-day dining.
RES_0012,"Cheezious, Gulberg",Lahore,Fast Food,Budget,31.514,74.348,Popular Pakistani pizza and fast-food chain.
RES_0013,Yasir Broast,Lahore,Fast Food,Budget,31.556,74.332,Local broast chain known for fried chicken and burgers.
RES_0014,Spice Bazaar,Lahore,Buffet,High,31.5075,74.338,Popular buffet restaurant offering a wide spread of local and continental food.
RES_0015,"Student Biryani, Lahore",Lahore,Pakistani,Budget,31.556,74.312,Branch of the well-known Karachi-origin biryani chain.
RES_0016,Monal Restaurant,Islamabad,Pakistani,High,33.746,73.11,Hilltop restaurant on the Margalla Hills offering panoramic city views.
RES_0017,Des Pardes,Islamabad,Pakistani,Mid,33.698,73.048,Popular Pakistani restaurant known for BBQ and traditional dishes.
RES_0018,Chaaye Khana,Islamabad,Cafe,Mid,33.702,73.048,Trendy cafe chain known for chai and Pakistani fusion snacks.
RES_0019,Savour Foods,Islamabad,Buffet,Mid,33.69,73.05,Long-standing buffet restaurant popular for affordable family dining.
RES_0020,Tuscany Courtyard,Islamabad,Continental,High,33.705,73.043,Upscale restaurant known for Italian and continental cuisine.
RES_0021,"Kabul Restaurant, Islamabad",Islamabad,Afghan,Mid,33.7,73.046,Popular Afghan restaurant known for kabuli pulao and mantu.
RES_0022,Street 1 Food Street,Islamabad,Food Street,Budget,33.702,73.029,F-7 food street with a variety of casual dining options.
RES_0023,"Chaye Khana, Centaurus",Islamabad,Cafe,Mid,33.7089,73.0563,Branch of the popular chai cafe chain inside Centaurus Mall.
RES_0024,Melody Food Park,Rawalpindi,Food Street,Budget,33.606,73.048,"Popular street-food hub known for BBQ, chaat, and fast food stalls."
RES_0025,Charsi Tikka Shop,Rawalpindi,Pakistani BBQ,Budget,33.599,73.049,"Legendary tikka shop in Rawalpindi's old city, famous nationwide."
RES_0026,Chatkhara Food Street,Rawalpindi,Food Street,Budget,33.618,73.063,Lively food street with a range of local fast-food vendors.
RES_0027,Al-Faisal Restaurant,Rawalpindi,Pakistani,Mid,33.6,73.05,Traditional restaurant known for karahi and BBQ dishes.
RES_0028,Kolachi Restaurant,Karachi,Pakistani,High,24.7969,66.9967,Popular waterfront restaurant at Do Darya known for BBQ and seafood.
RES_0029,BBQ Tonight,Karachi,Pakistani BBQ,High,24.86,67.05,Well-known BBQ chain with multiple branches across the city.
RES_0030,Xander's,Karachi,Continental,High,24.809,67.033,Upscale multi-cuisine restaurant popular for continental fare.
RES_0031,Okra,Karachi,Continental,High,24.808,67.03,Fine-dining restaurant known for contemporary continental cuisine.
RES_0032,Burns Road Food Street,Karachi,Food Street,Budget,24.86,67.018,"Historic food street famous for nihari, kebabs, and local sweets."
RES_0033,Student Biryani,Karachi,Pakistani,Budget,24.859,67.029,Iconic Karachi biryani chain with its original outlet in the city.
RES_0034,Ideal Restaurant,Karachi,Pakistani,Budget,24.861,67.02,Long-running eatery near Saddar known for biryani and karahi.
RES_0035,Kababjees,Karachi,Pakistani BBQ,Mid,24.821,67.045,Popular BBQ and grill chain with several branches in Karachi.
RES_0036,"Cafe Flo, Karachi",Karachi,Continental,High,24.813,67.03,French-continental restaurant popular in Clifton.
RES_0037,Do Darya Food Strip,Karachi,Food Street,Mid,24.7969,66.9967,Cluster of waterfront restaurants and cafes along the Arabian Sea.
RES_0038,"Chef's Restaurant, Multan",Multan,Pakistani,Mid,30.198,71.47,Well-known restaurant in Multan famous for karahi and BBQ.
RES_0039,Al-Fatah Chargha,Multan,Fast Food,Budget,30.196,71.465,Popular chargha (roasted chicken) chain with branches across Punjab.
RES_0040,"Bundu Khan, Multan",Multan,Pakistani BBQ,Mid,30.197,71.468,Branch of the well-known BBQ chain known for seekh kababs.
RES_0041,Multan Sohan Halwa House,Multan,Sweets,Budget,30.198,71.469,Traditional sweet shop famous for Multan's signature sohan halwa.
RES_0042,Namak Mandi,Peshawar,Pakistani BBQ,Budget,34.008,71.568,"Historic food quarter famous for tikka, karahi, and traditional BBQ."
RES_0043,Cafe Piyala,Peshawar,Pakistani,Mid,34.008,71.546,Popular cafe known for traditional Peshawari breakfast and chai.
RES_0044,Shiraz Restaurant,Peshawar,Pakistani,Mid,34.009,71.549,Long-standing restaurant known for karahi and Peshawari cuisine.
RES_0045,"Charsi Tikka, Peshawar",Peshawar,Pakistani BBQ,Budget,34.0083,71.567,Famous tikka shop in Peshawar's old city.
RES_0046,Kabul Darbar,Faisalabad,Afghan,Mid,31.418,73.079,Popular restaurant known for Afghan pulao and grilled dishes.
RES_0047,Rangeela Sweets,Faisalabad,Sweets,Budget,31.418,73.08,Well-known sweets and bakery shop in Faisalabad.
