POI_ID,Name,City,Province,Category,Latitude,Longitude,Description
POI_0001,Lahore Fort,Lahore,Punjab,Historical,31.5889,74.3145,Mughal-era fort and UNESCO World Heritage Site featuring the Sheesh Mahal and Alamgiri Gate.
POI_0002,Badshahi Mosque,Lahore,Punjab,Religious,31.588,74.3103,"One of the largest mosques in the world, built by Emperor Aurangzeb in 1673."
POI_0003,Shalimar Gardens,Lahore,Punjab,Historical,31.5925,74.3801,Mughal-era terraced garden complex known for its fountains and pavilions.
POI_0004,Minar-e-Pakistan,Lahore,Punjab,Monument,31.5931,74.3103,National monument marking the site where the Pakistan Resolution was adopted in 1940.
POI_0005,Wazir Khan Mosque,Lahore,Punjab,Religious,31.5825,74.3319,17th-century mosque famous for its intricate tile work and frescoes.
POI_0006,Anarkali Bazaar,Lahore,Punjab,Shopping,31.5675,74.3103,"One of the oldest surviving markets in South Asia, known for clothing and street food."
POI_0007,Data Darbar,Lahore,Punjab,Religious,31.5941,74.308,"Shrine of the Sufi saint Ali Hujwiri, one of the largest shrines in South Asia."
POI_0008,Lahore Museum,Lahore,Punjab,Museum,31.5686,74.3096,"Punjab's largest museum, housing Gandhara sculptures and Mughal-era artifacts."
POI_0009,Jilani Park (Race Course Park),Lahore,Punjab,Park,31.5461,74.3436,"Large public park popular for morning walks, jogging, and picnics."
POI_0010,Lahore Zoo,Lahore,Punjab,Recreation,31.562,74.3199,"One of the oldest zoos in Asia, home to a wide range of animal species."
POI_0011,Shahi Hammam,Lahore,Punjab,Historical,31.5824,74.3315,17th-century Mughal-era public bathhouse restored as a heritage site.
POI_0012,Tomb of Jahangir,Lahore,Punjab,Historical,31.6209,74.2936,Mausoleum of Mughal Emperor Jahangir located in Shahdara Bagh.
POI_0013,Bagh-e-Jinnah,Lahore,Punjab,Park,31.5504,74.3298,Historic botanical garden formerly known as Lawrence Gardens.
POI_0014,Wagah Border,Lahore,Punjab,Landmark,31.6042,74.5735,Pakistan-India border crossing famous for its daily flag-lowering ceremony.
POI_0015,Lahore Safari Park,Lahore,Punjab,Recreation,31.478,74.244,Drive-through wildlife park where animals roam in open enclosures.
POI_0016,Faisal Mosque,Islamabad,Islamabad Capital Territory,Religious,33.7295,73.0372,"One of the largest mosques in South Asia, known for its striking modern architecture."
POI_0017,Daman-e-Koh,Islamabad,Islamabad Capital Territory,Viewpoint,33.7404,73.07,Hilltop viewpoint in the Margalla Hills offering panoramic views of Islamabad.
POI_0018,Pakistan Monument,Islamabad,Islamabad Capital Territory,Monument,33.6938,73.0652,"National monument shaped like a blooming flower, symbolizing the four provinces."
POI_0019,Lok Virsa Museum,Islamabad,Islamabad Capital Territory,Museum,33.6926,73.0656,"Museum showcasing Pakistan's folk heritage, crafts, and cultural artifacts."
